job_id,company_id,company_name,company_type,is_newly_founded,company_industry,job_title,role_category,job_description,responsibilities,requirements,skills_required,job_type,workplace_type,location,salary_min,salary_max,salary_currency,salary_period,experience_level,experience_years_min,experience_years_max,competition_level,applicant_count,is_fresher_friendly,is_early_applicant,freshness_label,is_active,posted_at
1,1,Google,MNC,False,Internet & Cloud Technology,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Remote,Remote (Global),1219564,2106519,INR,Per Annum,Mid-level,2,4,High,77,False,False,Active,True,2026-09-03 23:06:02
2,1,Google,MNC,False,Internet & Cloud Technology,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,Remote,"Pune, Maharashtra, India",1028113,1814317,INR,Per Annum,Entry-level,1,3,High,91,True,False,Active,True,2026-08-31 10:06:02
3,1,Google,MNC,False,Internet & Cloud Technology,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,On-site,"Mumbai, Maharashtra, India",1985033,3528948,INR,Per Annum,Mid-level,2,5,High,137,False,False,Just Posted,True,2026-09-13 08:06:02
4,1,Google,MNC,False,Internet & Cloud Technology,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Hybrid,"Noida, Uttar Pradesh, India",2711241,4744672,INR,Per Annum,Senior,4,8,High,99,False,False,Active,True,2026-08-25 22:06:02
5,1,Google,MNC,False,Internet & Cloud Technology,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,Remote,"Delhi NCR / Gurugram, India",875290,1531758,INR,Per Annum,Entry-level,1,3,High,146,True,False,Active,True,2026-08-30 07:06:02
6,1,Google,MNC,False,Internet & Cloud Technology,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,On-site,"Hyderabad, Telangana, India",710828,1125478,INR,Per Annum,Fresher,0,1,High,190,True,False,Active,True,2026-08-28 12:06:02
7,1,Google,MNC,False,Internet & Cloud Technology,AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,On-site,"Hyderabad, Telangana, India",35141,60243,INR,Per Month,Fresher,0,1,High,114,True,False,Recently Posted,True,2026-09-11 06:06:02
8,1,Google,MNC,False,Internet & Cloud Technology,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Remote,"Remote, India",1393449,2554657,INR,Per Annum,Mid-level,2,4,High,210,False,False,Active,True,2026-08-27 14:06:02
9,1,Google,MNC,False,Internet & Cloud Technology,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,On-site,"Delhi NCR / Gurugram, India",914909,1614545,INR,Per Annum,Entry-level,1,3,Medium,50,True,False,Active,True,2026-09-08 20:06:02
10,2,Microsoft,MNC,False,Software & AI Solutions,Frontend Developer Intern (React & UI Design),Frontend,Hands-on frontend internship building swipe-based job discovery cards and mobile-first layouts.,Convert Figma designs to clean React components; implement responsive layouts and micro-interactions.,Demonstrated personal projects in React.js and strong knowledge of modern CSS/Tailwind.,"[""React"", ""JavaScript"", ""HTML5"", ""CSS3"", ""Tailwind CSS"", ""Git""]",Internship,Hybrid,"Bengaluru, Karnataka, India",27233,49020,INR,Per Month,Fresher,0,1,Medium,84,True,False,Active,True,2026-09-01 06:06:02
11,2,Microsoft,MNC,False,Software & AI Solutions,Frontend Developer Intern (React & UI Design),Frontend,Hands-on frontend internship building swipe-based job discovery cards and mobile-first layouts.,Convert Figma designs to clean React components; implement responsive layouts and micro-interactions.,Demonstrated personal projects in React.js and strong knowledge of modern CSS/Tailwind.,"[""React"", ""JavaScript"", ""HTML5"", ""CSS3"", ""Tailwind CSS"", ""Git""]",Internship,Remote,"Remote, India",25015,45028,INR,Per Month,Fresher,0,1,High,184,True,False,Active,True,2026-09-03 23:06:02
12,2,Microsoft,MNC,False,Software & AI Solutions,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Remote,"Remote, India",1407752,2580879,INR,Per Annum,Mid-level,2,4,High,135,False,False,Just Posted,True,2026-09-12 08:06:02
13,2,Microsoft,MNC,False,Software & AI Solutions,AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,Hybrid,"Delhi NCR / Gurugram, India",36917,63287,INR,Per Month,Fresher,0,1,Medium,76,True,False,Active,True,2026-08-31 05:06:02
14,2,Microsoft,MNC,False,Software & AI Solutions,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Remote,Remote (Global),2486382,4351169,INR,Per Annum,Senior,4,8,Medium,91,False,False,Active,True,2026-09-08 02:06:02
15,2,Microsoft,MNC,False,Software & AI Solutions,AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,"Mumbai, Maharashtra, India",2031218,3611055,INR,Per Annum,Mid-level,2,5,High,165,False,False,Active,True,2026-09-02 14:06:02
16,2,Microsoft,MNC,False,Software & AI Solutions,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,Hybrid,"Chennai, Tamil Nadu, India",1664624,2853641,INR,Per Annum,Mid-level,2,5,High,216,False,False,Recently Posted,True,2026-09-11 07:06:02
17,2,Microsoft,MNC,False,Software & AI Solutions,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Hybrid,"Chennai, Tamil Nadu, India",1400697,2567945,INR,Per Annum,Mid-level,2,4,High,173,False,False,Active,True,2026-08-29 17:06:02
18,2,Microsoft,MNC,False,Software & AI Solutions,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,Hybrid,"Hyderabad, Telangana, India",870702,1536533,INR,Per Annum,Entry-level,1,3,High,198,True,False,Active,True,2026-08-28 22:06:02
19,2,Microsoft,MNC,False,Software & AI Solutions,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,Hybrid,"Pune, Maharashtra, India",720708,1141122,INR,Per Annum,Fresher,0,1,High,167,True,False,Active,True,2026-09-01 07:06:02
20,2,Microsoft,MNC,False,Software & AI Solutions,Junior Python Developer (Fresher Friendly),Backend,Kickstart your software engineering journey with mentorship from experienced architects.,Write clean Python code for CRUD operations; participate in code reviews and unit test writing in Pytest.,"B.Tech/B.E/BCA/MCA graduate with strong fundamentals in Python, OOP concepts, and SQL basics.","[""Python"", ""FastAPI"", ""SQL"", ""Git"", ""REST APIs"", ""Data Structures""]",Full-time,Remote,Remote (Global),627135,992964,INR,Per Annum,Fresher,0,1,Medium,160,True,False,Just Posted,True,2026-09-12 18:06:02
